state,abbr,d_margin_2024,n_districts,n_contested,n_uncontested,reliable,notes
ALASKA,AK,-13.0,1,1,0,True,
ALABAMA,AL,-22.0,7,5,2,False,
ARKANSAS,AR,-28.0,4,4,0,True,
ARIZONA,AZ,2.0,9,9,0,True,
CALIFORNIA,CA,26.0,52,42,10,False,
COLORADO,CO,11.0,7,7,0,True,
CONNECTICUT,CT,20.0,5,5,0,True,
DISTRICT OF COLUMBIA,DC,86.0,1,1,0,True,
DELAWARE,DE,17.0,1,1,0,True,
FLORIDA,FL,-6.0,27,25,2,False,
GEORGIA,GA,-1.0,14,13,1,False,
HAWAII,HI,38.0,2,2,0,True,
IOWA,IA,-8.0,4,4,0,True,
IDAHO,ID,-35.0,2,2,0,True,
ILLINOIS,IL,17.0,18,15,3,False,
INDIANA,IN,-18.0,9,8,1,False,
KANSAS,KS,-16.0,4,4,0,True,
KENTUCKY,KY,-25.0,6,4,2,False,
LOUISIANA,LA,-20.0,6,5,1,False,
MASSACHUSETTS,MA,32.0,9,2,7,False,
MARYLAND,MD,24.0,8,8,0,True,
MAINE,ME,7.0,2,2,0,True,
MICHIGAN,MI,3.0,14,14,0,True,
MINNESOTA,MN,9.0,8,4,4,False,
MISSOURI,MO,-17.0,8,8,0,True,
MISSISSIPPI,MS,-20.0,4,3,1,False,
MONTANA,MT,-17.0,1,1,0,True,
NORTH CAROLINA,NC,-3.0,13,11,2,False,
NORTH DAKOTA,ND,,1,0,1,False,All uncontested
NEBRASKA,NE,-20.0,3,2,1,False,
NEW HAMPSHIRE,NH,5.0,2,2,0,True,
NEW JERSEY,NJ,10.0,12,12,0,True,
NEW MEXICO,NM,13.0,3,3,0,True,
NEVADA,NV,3.0,4,3,1,False,
NEW YORK,NY,16.0,27,27,0,True,
OHIO,OH,-7.0,16,16,0,True,
OKLAHOMA,OK,-33.0,5,4,1,False,
OREGON,OR,13.0,5,5,0,True,
PENNSYLVANIA,PA,-1.0,18,17,1,False,
RHODE ISLAND,RI,22.0,2,2,0,True,
SOUTH CAROLINA,SC,-19.0,7,7,0,True,
SOUTH DAKOTA,SD,-40.0,1,1,0,True,
TENNESSEE,TN,-29.0,9,9,0,True,
TEXAS,TX,-10.0,36,28,8,False,
UTAH,UT,-28.0,4,4,0,True,
VIRGINIA,VA,8.0,11,11,0,True,
VERMONT,VT,,1,0,1,False,All uncontested
WASHINGTON,WA,17.0,10,8,2,False,
WISCONSIN,WI,-3.0,8,8,0,True,
WEST VIRGINIA,WV,-41.0,2,2,0,True,
WYOMING,WY,-45.0,1,1,0,True,
