poll_id,state,abbr,d_candidate,r_candidate,d_pct,r_pct,undi_pct,n,pollster,grade,partisan,date_start,date_end,methodology,note
BT22_AZ_01,Arizona,AZ,Mark Kelly,Blake Masters,48,44,8,1042,NBC News/Marist,2.8,False,2022-11-01,2022-11-01,Live phone,backtest
BT22_AZ_02,Arizona,AZ,Mark Kelly,Blake Masters,48,43,9,1100,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_AZ_03,Arizona,AZ,Mark Kelly,Blake Masters,47,44,9,800,Emerson College,2.2,False,2022-11-03,2022-11-04,IVR/Online,
BT22_AZ_04,Arizona,AZ,Mark Kelly,Blake Masters,49,42,9,1008,Fox News,2.3,False,2022-10-30,2022-11-01,Live phone,
BT22_AZ_05,Arizona,AZ,Mark Kelly,Blake Masters,47,44,9,597,Quinnipiac University,2.7,False,2022-11-04,2022-11-06,Live phone,
BT22_FL_01,Florida,FL,Val Demings,Marco Rubio,42,53,5,1200,Emerson College,2.2,False,2022-10-24,2022-10-25,IVR/Online,
BT22_FL_02,Florida,FL,Val Demings,Marco Rubio,41,54,5,1093,St. Pete Polls,2.0,False,2022-10-27,2022-10-28,Online,
BT22_FL_03,Florida,FL,Val Demings,Marco Rubio,43,54,3,700,Cygnal,2.2,False,2022-10-28,2022-10-29,IVR/Online,
BT22_GA_01,Georgia,GA,Raphael Warnock,Herschel Walker,46,47,7,1165,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_GA_02,Georgia,GA,Raphael Warnock,Herschel Walker,47,46,7,614,Quinnipiac University,2.7,False,2022-11-04,2022-11-06,Live phone,
BT22_GA_03,Georgia,GA,Raphael Warnock,Herschel Walker,46,47,7,1000,Emerson College,2.2,False,2022-11-04,2022-11-05,IVR/Online,
BT22_GA_04,Georgia,GA,Raphael Warnock,Herschel Walker,46,47,7,1133,Fox News,2.3,False,2022-10-27,2022-10-28,Live phone,
BT22_GA_05,Georgia,GA,Raphael Warnock,Herschel Walker,47,45,8,810,NBC News/Marist,2.8,False,2022-11-04,2022-11-06,Live phone,
BT22_NC_01,North Carolina,NC,Cheri Beasley,Ted Budd,44,48,8,1178,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_NC_02,North Carolina,NC,Cheri Beasley,Ted Budd,44,49,7,1001,Emerson College,2.2,False,2022-10-29,2022-10-30,IVR/Online,
BT22_NC_03,North Carolina,NC,Cheri Beasley,Ted Budd,44,47,9,533,Quinnipiac University,2.7,False,2022-10-26,2022-10-27,Live phone,
BT22_NH_01,New Hampshire,NH,Maggie Hassan,Don Bolduc,50,43,7,1077,NBC News/Marist,2.8,False,2022-10-31,2022-11-01,Live phone,
